State,Change
Alabama,4.5
Alaska,5
Arizona,6.1
Arkansas,8
California,9.9
Colorado,7.8
Connecticut,3.1
Delaware,3.8
District of Columbia,3.8
Florida,8
Georgia,5.8
Hawaii,3.9
Idaho,6.7
Illinois,6.7
Indiana,5.2
Iowa,4.3
Kansas,4.8
Kentucky,9.3
Louisiana,5.9
Maine,1.7
Maryland,4.7
Massachusetts,1.6
Michigan,6.3
Minnesota,4.6
Mississippi,5.5
Missouri,3.4
Montana,5.7
Nebraska,3.3
Nevada,10.3
New Hampshire,4.8
New Jersey,4.5
New Mexico,8.7
New York,4.8
North Carolina,5.6
North Dakota,2
Ohio,5.8
Oklahoma,5
Oregon,10.1
Pennsylvania,3.8
Rhode Island,6.5
South Carolina,6.6
South Dakota,2.2
Tennessee,4.1
Texas,6.6
Utah,4.8
Vermont,4.2
Virginia,4
Washington,7.6
West Virginia,8.6
Wisconsin,3.7
Wyoming,3.4
